ID_FICHERO;ID_EMPLEADO;fecha_hora_ingreso;fecha_hora_egreso
1;14;2020-09-25 13:00;2020-09-25 17:00
2;18;2020-10-25 13:00;2020-10-25 17:00
3;35;2020-11-25 13:00;2020-11-25 17:00
4;9;2020-12-25 13:00;2020-12-25 17:00
5;20;2021-01-25 13:00;2021-01-25 17:00
6;17;2021-02-25 13:00;2021-02-25 17:00
7;6;2021-03-25 13:00;2021-03-25 17:00
8;8;2021-04-25 13:00;2021-04-25 17:00
9;2;2021-05-25 13:00;2021-05-25 17:00
10;39;2021-06-25 13:00;2021-06-25 17:00
11;15;2021-07-25 13:00;2021-07-25 17:00
12;22;2021-08-25 13:00;2021-08-25 17:00
13;1;2021-09-25 13:00;2021-09-25 17:00
14;38;2021-10-25 13:00;2021-10-25 17:00
15;25;2021-11-25 13:00;2021-11-25 17:00
16;11;2021-12-25 13:00;2021-12-25 17:00
17;16;2022-01-25 13:00;2022-01-25 17:00
18;3;2022-02-25 13:00;2022-02-25 17:00
19;24;2022-03-25 13:00;2022-03-25 17:00
